0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,274,274,274,274,275,275,275,289,289,289,289,289,289
Reserves,"14,961","16,823","18,583","21,357","23,666","25,648","33,023","38,008","43,064","48,982","53,119","58,807","59,926"
Borrowings +,"5,409","5,199","7,414","8,250","6,240","17,420","20,637","18,282","18,314","10,776","9,704","9,011","14,437"
Other Liabilities +,"6,766","7,457","8,943","8,409","9,100","11,030","15,337","15,239","18,749","20,615","25,303","28,525","26,941"
Total Liabilities,"27,409","29,754","35,215","38,291","39,281","54,373","69,271","71,817","80,416","80,662","88,415","96,631","101,593"
Fixed Assets +,"13,122","15,872","20,947","22,688","23,232","37,211","46,637","46,775","45,466","45,577","56,562","59,930","63,070"
CWIP,"3,505","2,042","2,074","1,416",878,"1,474","1,111",870,"1,528","4,627","3,998","6,765","6,350"
Investments,"5,109","5,392","5,209","5,793","7,409","6,163","7,065","10,083","17,570","11,725","9,433","9,237","9,228"
Other Assets +,"5,672","6,449","6,985","8,394","7,762","9,525","14,459","14,089","15,853","18,734","18,421","20,699","22,945"
Total Assets,"27,409","29,754","35,215","38,291","39,281","54,373","69,271","71,817","80,416","80,662","88,415","96,631","101,593"
