0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"19,383","19,384","21,911","23,709","23,891","29,358","39,999","40,649","43,188","50,663","61,237","68,641","68,572"
Expenses +,"14,707","15,566","17,716","19,082","18,922","23,475","32,920","31,997","32,224","39,727","50,952","56,021","56,860"
Operating Profit,"4,675","3,818","4,195","4,627","4,969","5,883","7,079","8,652","10,965","10,936","10,286","12,620","11,712"
OPM %,24%,20%,19%,20%,21%,20%,18%,21%,25%,22%,17%,18%,17%
Other Income +,305,329,372,481,646,373,383,727,625,612,505,590,681
Interest,210,319,547,512,571,"1,191","1,648","1,704","1,259",798,756,867,"1,072"
Depreciation,945,"1,052","1,133","1,297","1,268","1,764","2,321","2,455","2,434","2,457","2,773","3,027","3,307"
Profit before tax,"3,825","2,776","2,886","3,299","3,776","3,302","3,492","5,220","7,896","8,293","7,262","9,316","8,016"
Tax %,31%,23%,30%,28%,30%,32%,31%,-5%,32%,15%,32%,26%,
Net Profit +,"2,655","2,144","2,015","2,370","2,628","2,231","2,412","5,456","5,342","7,067","4,951","6,905","6,192"
EPS in Rs,96.85,78.20,73.42,86.37,95.72,81.25,87.84,189.02,185.07,244.80,171.52,239.18,214.46
Dividend Payout %,9%,12%,12%,11%,10%,13%,13%,7%,20%,16%,22%,29%,
