0,1,2,3,4,5,6,7
Sales +,683,737,837,"1,162","1,287","1,444","1,281"
Expenses +,603,697,811,"1,524","1,089","1,571","1,221"
Operating Profit,80,40,27,-362,198,-127,60
OPM %,12%,5%,3%,-31%,15%,-9%,5%
Other Income +,58,66,-195,58,-4,75,118
Interest,4,4,1,4,13,18,17
Depreciation,23,25,26,28,30,33,39
Profit before tax,112,76,-195,-335,150,-103,122
Tax %,33%,33%,-26%,14%,17%,61%,
Net Profit +,75,51,-145,-382,125,-165,76
EPS in Rs,636.94,391.05,"-1,118.18",-53.37,8.77,-11.56,4.61
Dividend Payout %,0%,0%,0%,0%,0%,0%,
