0,1,2,3,4,5,6,7
Equity Capital,1,1,1,14,29,29,31
Reserves,841,711,566,171,283,115,"2,204"
Borrowings +,51,36,41,140,188,267,137
Other Liabilities +,153,678,690,"1,488","1,395","1,684",327
Total Liabilities,"1,046","1,426","1,298","1,814","1,894","2,095","2,699"
Fixed Assets +,237,242,244,253,272,317,316
CWIP,0,1,1,1,16,9,18
Investments,4,65,149,141,139,139,139
Other Assets +,806,"1,118",903,"1,419","1,466","1,631","2,225"
Total Assets,"1,046","1,426","1,298","1,814","1,894","2,095","2,699"
