0,1,2,3,4,5,6,7
Sales +,316,447,383,298,317,328,337
Expenses +,503,358,351,359,274,285,303
Operating Profit,-187,89,32,-61,44,43,34
OPM %,-59%,20%,8%,-20%,14%,13%,10%
Other Income +,20,4,25,25,26,32,34
Interest,4,5,5,5,6,4,2
Depreciation,7,8,8,9,9,9,11
Profit before tax,-178,81,43,-49,54,62,55
Tax %,6%,35%,32%,18%,23%,18%,25%
Net Profit +,-190,53,29,-58,42,50,41
EPS in Rs,-13.26,3.69,2.05,-4.05,2.84,3.20,2.62
Raw PDF,,,,,,,
