0,1,2,3,4,5,6
Cash from Operating Activity +,,-22,56,228,94,
Cash from Investing Activity +,,-242,-100,-298,-202,
Cash from Financing Activity +,,302,3,95,90,
Net Cash Flow,,38,-42,25,-18,
