0,1,2,3,4,5,6
Debtor Days,85,88,92,95,73,59
Inventory Days,93,96,67,85,91,68
Days Payable,60,85,63,120,82,69
Cash Conversion Cycle,118,99,96,61,82,58
Working Capital Days,103,138,100,37,40,43
ROCE %,,10%,8%,-71%,74%,-14%
