0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,168,333,843,674,"1,000",876,"1,966","1,091","1,912","1,554","2,417","1,436","1,675"
Expenses +,136,221,581,517,773,712,"1,430",805,"1,463","1,096","1,699","1,025","1,139"
Operating Profit,32,112,262,157,227,165,536,286,450,458,719,411,537
OPM %,19%,34%,31%,23%,23%,19%,27%,26%,24%,29%,30%,29%,32%
Other Income +,-48,10,"-1,182",13,30,19,12,20,11,8,6,34,18
Interest,5,4,5,21,21,17,1,1,2,2,2,4,8
Depreciation,5,4,5,5,6,7,8,10,15,16,19,18,22
Profit before tax,-26,114,-930,143,230,160,540,295,444,448,704,424,524
Tax %,-0%,-8%,-0%,-0%,-0%,-68%,25%,22%,25%,38%,21%,29%,26%
Net Profit +,-26,123,-930,143,230,269,403,231,332,277,557,301,390
EPS in Rs,-0.71,3.35,-20.92,3.21,5.17,5.33,7.99,4.58,6.56,5.48,11.03,5.77,7.44
Raw PDF,,,,,,,,,,,,,
