0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"28,850","36,011","31,105","32,494","30,935","37,153","32,791","33,738","33,310","35,341","32,654","30,778","31,799"
Expenses +,"22,053","29,104","27,753","30,752","26,905","30,906","27,930","26,840","27,531","30,899","28,379","26,137","27,402"
Operating Profit,"6,797","6,907","3,352","1,742","4,030","6,247","4,861","6,898","5,779","4,442","4,275","4,641","4,397"
OPM %,24%,19%,11%,5%,13%,17%,15%,20%,17%,13%,13%,15%,14%
Other Income +,394,-306,283,422,315,552,438,630,386,211,396,97,349
Interest,887,"1,317","1,030","1,093","1,344","1,556","1,457","1,531","1,551","1,569","1,590","1,668","1,633"
Depreciation,"1,237","1,225","1,177","1,207","1,263","1,305","1,265","1,359","1,351","1,460","1,460","1,488","1,475"
Profit before tax,"5,067","4,059","1,428",-136,"1,738","3,938","2,577","4,638","3,263","1,624","1,621","1,582","1,638"
Tax %,32%,35%,33%,-33%,29%,28%,34%,37%,26%,38%,26%,18%,21%
Net Profit +,"3,424","2,637",956,-91,"1,234","2,838","1,705","2,913","2,416","1,007","1,205","1,299","1,286"
EPS in Rs,14.17,10.91,3.95,-0.38,5.11,11.74,7.05,11.91,9.88,4.12,4.93,5.31,5.26
Raw PDF,,,,,,,,,,,,,
