0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"3,925","5,274","8,466","5,670","8,561","12,174","15,578","14,110","17,557","23,335","20,444","5,449"
Cash from Investing Activity +,"-4,451","-4,687","-6,275","-5,033","-6,284","-6,134","-11,432","-19,092","-3,759","-17,652","-7,361","-8,687"
Cash from Financing Activity +,124,-366,"-1,805",-982,"-2,030","-6,301",725,"3,054","-6,115","-9,134","-7,085","-5,477"
Net Cash Flow,-403,220,386,-345,247,-261,"4,871","-1,928","7,683","-3,451","5,998","-8,715"
