0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,549","1,709","1,772","1,784","2,009","2,570","2,241","2,329","2,106","2,673","2,088","2,038","1,977"
Expenses +,"1,318","1,414","1,472","1,601","1,724","2,157","1,900","1,931","1,711","2,256","1,769","1,726","1,697"
Operating Profit,231,295,301,184,285,413,341,399,395,417,319,312,279
OPM %,15%,17%,17%,10%,14%,16%,15%,17%,19%,16%,15%,15%,14%
Other Income +,7,10,7,9,9,12,8,13,7,14,8,11,340
Interest,25,33,47,55,61,77,93,117,102,104,113,120,113
Depreciation,99,108,106,122,136,141,148,157,166,165,167,169,174
Profit before tax,113,164,154,16,97,207,108,138,135,162,48,35,333
Tax %,27%,24%,27%,28%,31%,26%,27%,27%,31%,25%,26%,27%,2%
Net Profit +,83,124,112,11,67,152,79,101,93,121,36,26,325
EPS in Rs,3.49,5.25,4.75,0.49,2.85,6.45,3.34,4.29,3.95,5.14,1.50,1.08,13.77
Raw PDF,,,,,,,,,,,,,
