0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,662","1,610","2,347","2,263","1,708","1,655","2,525","2,448","1,819","1,814","2,860","2,639","1,938"
Expenses +,"1,450","1,434","1,953","1,943","1,483","1,417","2,181","2,125","1,757","1,781","2,786","2,130","1,676"
Operating Profit,212,176,394,320,225,238,344,323,62,33,74,509,262
OPM %,13%,11%,17%,14%,13%,14%,14%,13%,3%,2%,3%,19%,14%
Other Income +,259,406,33,258,287,389,231,336,512,540,582,154,371
Interest,123,130,134,148,156,166,181,176,177,205,207,215,228
Depreciation,117,120,120,119,119,122,179,178,180,183,175,169,174
Profit before tax,231,332,173,311,237,339,215,305,217,185,274,279,231
Tax %,20%,22%,20%,22%,22%,22%,21%,25%,22%,-11%,30%,22%,26%
Net Profit +,184,259,138,243,186,263,170,230,170,205,192,218,172
EPS in Rs,1.39,1.95,1.04,1.83,1.40,1.98,1.28,1.74,1.28,1.55,1.45,1.64,1.30
Raw PDF,,,,,,,,,,,,,
