0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,126,126,133,133,133,133,133,133,133,133,133,133,133
Reserves,"6,369","6,913","7,947","12,868","13,191","9,314","9,631","9,905","9,844","9,822","9,831","9,755","10,067"
Borrowings +,"3,740","4,030","5,234","5,331","5,985","5,947","6,052","6,453","7,433","8,491","8,422","9,583","10,950"
Other Liabilities +,"4,665","5,261","5,604","9,008","9,138","10,635","10,273","10,461","10,247","9,559","9,874","8,880","8,240"
Total Liabilities,"14,899","16,329","18,918","27,341","28,447","26,030","26,089","26,952","27,658","28,005","28,260","28,351","29,390"
Fixed Assets +,"8,171","8,619","9,234","14,859","14,814","14,787","14,736","14,810","14,437","14,253","13,992","13,455","13,187"
CWIP,397,410,262,196,188,127,67,89,66,43,64,78,115
Investments,"2,178","3,191","4,249","4,608","4,648","4,700","4,943","4,446","5,074","5,016","5,063","5,220","5,541"
Other Assets +,"4,153","4,109","5,173","7,678","8,797","6,416","6,343","7,607","8,080","8,693","9,141","9,597","10,547"
Total Assets,"14,899","16,329","18,918","27,341","28,447","26,030","26,089","26,952","27,658","28,005","28,260","28,351","29,390"
