0,1,2,3,4,5,6,7,8,9,10,11,12,13
Revenue,88,146,278,464,708,871,"1,282","1,683","2,028","2,669","3,487","5,119","5,803"
Interest,42,72,129,208,317,354,417,575,745,987,"1,216","1,738","1,952"
Expenses +,39,50,76,126,264,184,361,639,"1,069","1,235","1,179","1,444","2,608"
Financing Profit,7,24,74,130,128,332,504,470,214,447,"1,092","1,937","1,244"
Financing Margin %,7%,16%,26%,28%,18%,38%,39%,28%,11%,17%,31%,38%,21%
Other Income +,2,2,3,2,1,1,1,1,3,81,64,54,4
Depreciation,1,1,2,3,4,5,8,20,23,47,50,51,61
Profit before tax,8,25,75,130,124,328,498,451,194,481,"1,105","1,939","1,187"
Tax %,-5%,33%,35%,36%,35%,35%,35%,27%,27%,27%,25%,25%,
Net Profit +,8,17,49,83,80,212,322,328,142,353,826,"1,446",881
EPS in Rs,2.00,3.14,6.68,11.41,9.37,16.54,22.41,22.75,9.15,22.65,52.87,90.72,55.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,11%,
