0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,,,,-931,-425,"-1,726","-1,378","-2,302",-364,"-2,713","-3,290","-4,734"
Cash from Investing Activity +,,,,-4,-5,54,-7,-636,-32,-33,-314,-994
Cash from Financing Activity +,,,,934,579,"1,470","1,829","2,929","1,706","1,967","3,365","5,494"
Net Cash Flow,,,,-1,149,-202,444,-9,"1,310",-780,-239,-234
