Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
SBIN,2025-03-04T12:58:46Z,"Top gainers & losers today, 4 March: SBIN, Zomato, TCS rise; Bajaj Finserv, HCL Tech decline",Equity benchmarks close lower for tenth consecutive session due to global trade tensions and foreign selling.,-0.9186,Negative,https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-top-gainers-top-losers-today-sbin-zomato-tcs-4-mar-2025/article69289877.ece
SBIN,2025-03-02T20:53:16Z,Changing fan speed in Ubuntu 22.04,"I am used to change the fan speed by running the following command:
sudo pwmconfig 
Unfortunately, i get the following output:
# pwmconfig version 3.6.0
This program will search your sensors for pulse width modulation (pwm)
controls, and test each one to see …",0.2732,Positive,https://askubuntu.com/questions/1542748/changing-fan-speed-in-ubuntu-22-04
SBIN,2025-02-28T13:53:55Z,Network connectivity issue with new router,"I've been using Ubuntu 24.04.2 LTS, I have been using one router previously which I had to change, but when I installed the new router, I cannot use internet properly. I am able to use the internet on my phone and other devices through that new router, even w…",0.7695,Positive,https://askubuntu.com/questions/1542602/network-connectivity-issue-with-new-router
SBIN,2025-02-28T08:59:47Z,"How can gparted bootmake system sbin wiped from system, no actions to disks was performed","I'm just launch Gparted to free disk space on ssd nvme, Gparted show tome strange dialog that i do not even read, tap ok, then my shell entirely crash, grub can't find sbin and nvme01p4 not present in /dev with grub rescue.
Without divin into logs etc anyone …",0.5445,Positive,https://askubuntu.com/questions/1542574/how-can-gparted-bootmake-system-sbin-wiped-from-system-no-actions-to-disks-was
SBIN,2025-02-27T13:56:02Z,Re: MitM attack against OpenSSH's VerifyHostKeyDNS-enabled client,"Posted by Jordy Zomer on Feb 27Hey all,

First of all, cool findings! I've been working on the CodeQL query and have a revised version that I think improves 
accuracy and might offer some performance gains (though I haven't done rigorous benchmarking). The ke…",0.7963,Positive,https://seclists.org/fulldisclosure/2025/Feb/18
SBIN,2025-02-24T01:14:02Z,"Share Market Highlights 24 February 2025: Markets bleed: Sensex tanks 856 points, Nifty below 22,600 on US tariff woes","Sensex, Nifty updates on 24 February 2025: Equity benchmark indices Sensex and Nifty closed in deep red on Monday, tracking extremely weak US market trends, incessant foreign fund outflows and concerns over US tariffs. The 30-share BSE benchmark Sensex tanked…",0.4951,Positive,https://www.thehindubusinessline.com/markets/stock-market-highlights-24th-february-2025/article69254304.ece
SBIN,2025-02-22T17:06:38Z,Без проводная точка доступа,"Пытаюсь настроить точку доступа для usb Wi-Fi из под Slackware 15.0
Моё устройство:
Bus 001 Device 003: ID 0bda:8172 Realtek Semiconductor Corp. RTL8191SU 802.11n WLAN Adapter



Узнать драйвер пришлось через dmesg:
[ 9.555844] usb 1-11: r8712u: Loading firm…",-0.3089,Negative,https://www.linux.org.ru/forum/admin/17893062
SBIN,2025-02-21T17:21:04Z,isc-dhcp-server игнорирует сетевую карту в разъёме PCI-E,"OC Debian 12, материнская плата Asus M2NE. DHCP сервер работает и выдаёт ip-адреса на всех сетевых картах от встроенной до PCI и PCI-e, в т.ч. vlan (разъёмов PCI-e на этой плате два PCIEX1_1 и PCIEX1_2).
Сетевые карты определяются в PCIEX1_2, переименовываютс…",0.0,Neutral,https://www.linux.org.ru/forum/admin/17892158
SBIN,2025-02-21T04:27:53Z,MitM attack against OpenSSH's VerifyHostKeyDNS-enabled client,"Posted by Qualys Security Advisory via Fulldisclosure on Feb 20Qualys Security Advisory

CVE-2025-26465: MitM attack against OpenSSH's VerifyHostKeyDNS-enabled
client

CVE-2025-26466: DoS attack against OpenSSH's client and server

===========================…",-0.5859,Negative,https://seclists.org/fulldisclosure/2025/Feb/17
SBIN,2025-02-20T21:12:08Z,Grub won't show up and detect kernels,"I have cloned the kernel and switched to version v6.11 (mine is 6.11.0-14) which I have builded and run the /sbin/installkernel script (which ubuntu provides) and everything was fine but the when I restarted the computer It won't enter in grub and shows this
…",0.3818,Positive,https://askubuntu.com/questions/1541939/grub-wont-show-up-and-detect-kernels
SBIN,2025-02-20T18:22:27Z,Missing WiFi control from thesystem tray and the Settings app,"I have updated the 20.04.2 LTS server version to include the desktop (sudo apt install -y unbuntu-desktop)
After a reboot, the desktop was present and working. However, the system tray applications and settings
application were missing. The wifi network conne…",0.505,Positive,https://askubuntu.com/questions/1541922/missing-wifi-control-from-thesystem-tray-and-the-settings-app
SBIN,2025-02-20T17:00:29Z,"Failed to start sssd.service - System Security Service - (code=exited, status=1/FAILURE)","I am facing an issue with Ubuntu Server 24.04 version adding Active Directory, but the SSSD service is not starting, and I'm getting the below error message.
 krb5_kt_start_seq_get failed: Key table file '/
 23434 ExecStart=/usr/sbin/sssd -i ${DEBUG_LOGGER} (…",-0.0543,Negative,https://askubuntu.com/questions/1541907/failed-to-start-sssd-service-system-security-service-code-exited-status-1
SBIN,2025-02-20T14:35:29Z,Using systemd to switch nginx configurations based on number of CPUs,"I set up a BigBlueButton web conferencing server
so that people can use it for Emacs meetups. To
keep costs down, I want to resize it to 1 GB RAM 1
vCPU most of the time, and then resize it to 8 GB
RAM 4 vCPU when there's a meetup. When it's at a
proper size …",0.2263,Positive,https://sachachua.com/blog/2025/02/using-systemd-to-switch-nginx-configurations-based-on-number-of-cpus/
SBIN,2025-02-20T11:38:57Z,Grml developers: Evgeni Golov: Unauthenticated RCE in Grandstream HT802V2 and probably others using gs_test_server DHCP vendor option,"The Grandstream HT802V2 uses busybox' udhcpc for DHCP.
When a DHCP event occurs, udhcpc calls a script (/usr/share/udhcpc/default.script by default) to further process the received data.
On the HT802V2 this is used to (among others) parse the data in DHCP opt…",0.0,Neutral,https://www.die-welt.net/2025/02/unauthenticated-rce-in-grandstream-ht802v2-and-probably-others-using-gs_test_server-dhcp-vendor-option/
SBIN,2025-02-20T11:25:17Z,Debian Policy Updated With New Packaging Guidance & Updated Chinese Translations,"The Debian Policy 4.7.1.0 is now available as the updated manual around policy requirements for the Debian distribution for packaging mandates, design issues, and other details to abide by for Debian developers...",0.0,Neutral,https://www.phoronix.com/news/Debian-Policy-New-Guidance
