0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,80,80,80,80,80,80,80,80,80,80,159,159,160
Reserves,"2,328","2,383","2,481","2,616","2,686","2,800","3,055","3,456","3,721","4,289","5,089","6,410","8,143"
Borrowings +,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities +,74,74,80,51,48,47,58,65,68,70,70,82,309
Total Liabilities,"2,481","2,537","2,640","2,747","2,814","2,927","3,193","3,600","3,869","4,438","5,318","6,651","8,612"
Fixed Assets +,70,70,75,75,74,73,73,158,159,110,115,113,113
CWIP,0,1,1,1,1,8,33,0,2,4,4,4,4
Investments,"2,367","2,427","2,514","2,379","2,666","2,758","2,937","3,340","3,495","4,191","5,078","6,369","8,259"
Other Assets +,45,40,51,292,73,87,149,102,213,133,120,164,236
Total Assets,"2,481","2,537","2,640","2,747","2,814","2,927","3,193","3,600","3,869","4,438","5,318","6,651","8,612"
