0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,052","1,224","1,294","1,246","1,292","1,440","1,615","1,523","1,380","1,750","2,228","2,461","2,417"
Expenses +,769,880,992,995,"1,012","1,065","1,184","1,202","1,037","1,238","1,718","1,765","1,820"
Operating Profit,282,344,302,250,280,375,431,321,343,513,510,697,598
OPM %,27%,28%,23%,20%,22%,26%,27%,21%,25%,29%,23%,28%,25%
Other Income +,36,52,103,106,62,203,162,127,120,275,82,75,834
Interest,0,0,1,0,1,1,1,15,15,10,17,22,19
Depreciation,56,65,62,68,54,51,51,99,96,97,114,95,92
Profit before tax,261,332,343,288,287,526,541,334,352,681,462,655,"1,320"
Tax %,29%,23%,21%,19%,17%,24%,19%,26%,21%,16%,23%,24%,
Net Profit +,184,255,271,234,237,402,441,248,278,569,355,497,"1,120"
EPS in Rs,16.52,22.77,24.13,20.76,21.05,35.69,38.98,22.55,25.27,51.59,32.09,44.85,100.97
Dividend Payout %,27%,22%,33%,34%,50%,36%,38%,67%,67%,47%,81%,67%,
