0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,456,477,509,517,605,597,624,628,598,612,570,623,612
Expenses +,312,347,394,434,448,442,436,448,439,442,448,460,470
Operating Profit,144,130,115,82,157,155,188,180,159,170,121,163,143
OPM %,32%,27%,23%,16%,26%,26%,30%,29%,27%,28%,21%,26%,23%
Other Income +,24,207,29,14,22,18,8,5,48,15,14,828,-23
Interest,3,3,3,4,4,5,5,3,7,6,5,4,4
Depreciation,25,23,28,30,27,28,23,23,24,25,23,23,22
Profit before tax,141,312,112,63,147,139,167,158,176,154,108,964,94
Tax %,25%,8%,26%,23%,24%,20%,24%,26%,22%,25%,26%,11%,24%
Net Profit +,106,287,83,48,111,112,127,118,137,115,80,854,71
EPS in Rs,9.64,26.05,7.53,4.39,10.07,10.12,11.51,10.61,12.40,10.38,7.19,76.98,6.42
Raw PDF,,,,,,,,,,,,,
