0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,63,79,84,82,83,105,115,136,114,96,116,139
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,63,79,84,82,83,105,115,136,114,96,116,139
Working Capital Days,48,69,80,78,86,99,127,119,77,90,103,138
ROCE %,24%,26%,23%,18%,17%,26%,25%,16%,16%,27%,17%,22%
