0,1,2,3,4,5,6
Cash from Operating Activity +,3,3,-10,5,27,18
Cash from Investing Activity +,-1,-3,-2,-5,-14,-145
Cash from Financing Activity +,-2,1,12,0,-8,209
Net Cash Flow,-0,1,0,0,5,83
