0,1,2,3,4,5,6,7
Equity Capital,6,6,6,6,10,11,11
Reserves,5,8,16,39,83,411,445
Borrowings +,11,15,31,34,36,10,8
Other Liabilities +,29,22,58,70,137,180,275
Total Liabilities,51,51,110,149,266,612,739
Fixed Assets +,4,6,7,10,23,44,48
CWIP,0,0,0,1,2,1,3
Investments,0,0,0,0,0,0,0
Other Assets +,47,44,104,138,241,568,689
Total Assets,51,51,110,149,266,612,739
