0,1,2,3,4,5,6
Debtor Days,86,41,143,115,124,93
Inventory Days,29,32,100,75,61,77
Days Payable,79,46,146,104,116,85
Cash Conversion Cycle,35,28,97,86,69,85
Working Capital Days,37,35,94,87,73,82
ROCE %,,31%,36%,52%,64%,38%
