0,1,2,3,4,5,6,7
Sales +,130,156,143,247,445,724,"1,000"
Expenses +,123,148,128,212,375,621,860
Operating Profit,7,8,14,35,70,103,140
OPM %,5%,5%,10%,14%,16%,14%,14%
Other Income +,0,1,2,1,1,12,11
Interest,2,3,3,4,4,6,6
Depreciation,1,1,1,2,4,6,10
Profit before tax,4,5,11,30,63,102,136
Tax %,31%,27%,26%,26%,25%,26%,
Net Profit +,3,4,8,22,47,76,101
EPS in Rs,4.74,6.91,14.55,39.68,9.22,13.47,17.94
Dividend Payout %,0%,0%,0%,0%,5%,15%,
