0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,848,895,881,900,877,939,882,988,910,"1,026",952,"1,063","1,004"
Expenses +,697,734,736,796,752,782,752,848,805,902,833,941,900
Operating Profit,152,161,145,104,125,157,130,140,105,124,119,122,104
OPM %,18%,18%,16%,12%,14%,17%,15%,14%,12%,12%,12%,12%,10%
Other Income +,6,5,6,19,6,14,10,9,9,12,14,11,13
Interest,2,3,4,3,4,4,6,6,7,7,8,10,8
Depreciation,17,17,18,18,18,17,22,22,21,21,21,22,22
Profit before tax,138,146,130,102,109,150,113,121,85,108,103,102,87
Tax %,30%,38%,26%,25%,25%,28%,25%,26%,26%,29%,29%,26%,27%
Net Profit +,97,91,96,76,81,107,84,90,64,77,74,76,64
EPS in Rs,4.38,4.10,4.34,3.43,3.66,4.83,3.79,4.07,2.86,3.47,3.33,3.41,2.87
Raw PDF,,,,,,,,,,,,,
