0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,59,58,63,64,69,58,47,41,51,42,39,38
Inventory Days,113,141,137,119,105,121,124,113,114,117,94,106
Days Payable,42,28,28,36,56,63,50,51,74,61,52,49
Cash Conversion Cycle,129,170,172,147,117,116,121,103,91,99,82,96
Working Capital Days,103,109,108,99,98,86,76,62,58,62,68,106
ROCE %,13%,17%,27%,26%,23%,17%,18%,17%,20%,31%,27%,19%
