0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,131","1,284","1,565","1,636","1,782","1,967","2,264","2,283","2,113","3,001","3,540","3,759","4,045"
Expenses +,"1,018","1,135","1,315","1,352","1,490","1,661","1,963","1,979","1,778","2,466","2,975","3,265","3,576"
Operating Profit,113,149,250,284,292,306,300,304,335,535,564,494,469
OPM %,10%,12%,16%,17%,16%,16%,13%,13%,16%,18%,16%,13%,12%
Other Income +,7,8,18,6,23,7,6,11,-1,23,-4,39,50
Interest,39,55,43,46,29,33,45,37,11,10,14,25,33
Depreciation,27,33,45,44,52,81,50,68,63,68,64,81,86
Profit before tax,54,69,180,200,234,199,212,210,261,480,483,427,400
Tax %,3%,3%,16%,15%,21%,21%,25%,25%,26%,32%,28%,26%,
Net Profit +,53,67,151,170,186,157,159,158,192,325,348,315,290
EPS in Rs,2.37,3.01,6.79,7.64,8.35,7.05,7.14,7.12,8.64,14.64,15.68,14.16,13.08
Dividend Payout %,11%,33%,30%,13%,12%,14%,14%,14%,12%,10%,6%,7%,
