0,1,2,3,4,5,6,7,8,9
Cash from Operating Activity +,-151,-269,-318,654,622,-912,552,717,-239
Cash from Investing Activity +,-2,9,38,-9,-4,2,-39,-98,-553
Cash from Financing Activity +,98,334,253,-308,-445,896,-163,-908,"1,448"
Net Cash Flow,-55,74,-28,337,174,-14,350,-289,656
