0,1,2,3,4,5,6,7,8,9
Debtor Days,434,865,78,104,19,65,91,45,42
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,434,865,78,104,19,65,91,45,42
Working Capital Days,137,352,207,-242,-386,-237,-575,-477,-528
ROCE %,,10%,19%,13%,14%,27%,35%,44%,39%
