0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,623","2,887","1,742","1,948","2,361","2,406","2,391","2,669","2,692","2,894","2,460","2,825","2,917"
Expenses +,"2,407","2,380","1,529","1,680","1,917","1,830","1,968","2,124","2,210","2,119","1,961","2,104","2,203"
Operating Profit,216,507,213,268,444,576,422,545,482,775,499,721,713
OPM %,8%,18%,12%,14%,19%,24%,18%,20%,18%,27%,20%,26%,24%
Other Income +,131,339,38,36,54,326,113,103,331,123,65,123,54
Interest,4,5,6,12,25,32,32,37,61,53,51,52,66
Depreciation,101,101,56,61,60,67,60,66,64,65,67,68,68
Profit before tax,242,740,189,231,413,804,444,546,687,780,446,724,633
Tax %,1%,-8%,35%,29%,28%,20%,24%,24%,9%,26%,26%,26%,25%
Net Profit +,240,802,122,165,299,645,336,416,624,579,329,538,472
EPS in Rs,4.09,13.69,2.08,2.81,5.10,11.01,5.74,7.10,10.65,9.88,5.62,9.17,8.06
Raw PDF,,,,,,,,,,,,,
