0,1,2,3,4,5,6,7,8,9,10,11,12
Debtor Days,36,43,26,30,24,25,24,52,43,17,19,29
Inventory Days,308,279,383,307,274,226,243,371,207,170,180,222
Days Payable,63,58,77,83,90,99,90,98,107,143,92,103
Cash Conversion Cycle,281,264,331,254,208,152,178,325,143,44,106,147
Working Capital Days,73,51,49,10,-9,-10,7,74,16,-20,29,54
ROCE %,7%,5%,5%,-6%,-3%,3%,8%,8%,11%,24%,6%,8%
