0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131","4,131"
Reserves,"36,894","38,536","39,374","35,065","31,879","31,583","34,021","35,647","39,364","47,887","48,009","50,000","50,366"
Borrowings +,"21,597","25,281","29,898","34,980","41,396","45,409","45,170","54,127","37,677","17,284","30,773","36,315","41,250"
Other Liabilities +,"21,781","24,217","26,140","26,389","29,363","33,388","33,364","31,462","34,831","48,709","45,099","47,395","40,680"
Total Liabilities,"84,402","92,165","99,542","100,564","106,768","114,511","116,685","125,366","116,002","118,011","128,012","137,841","136,426"
Fixed Assets +,"16,777","26,771","36,169","45,925","50,285","58,612","61,359","69,019","67,600","73,657","73,524","72,408","71,737"
CWIP,"35,891","33,651","29,196","24,927","23,275","18,395","16,014","8,752","8,878","4,710","4,891","6,141","6,443"
Investments,718,720,919,"1,293","1,395","1,491","1,585","1,585","1,595","1,624","1,673","1,694","1,736"
Other Assets +,"31,016","31,024","33,259","28,420","31,811","36,012","37,728","46,011","37,929","38,019","47,924","57,599","56,511"
Total Assets,"84,402","92,165","99,542","100,564","106,768","114,511","116,685","125,366","116,002","118,011","128,012","137,841","136,426"
