0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"25,246","30,758","24,029","26,246","25,042","29,131","24,358","29,714","23,345","27,958","23,998","24,675","24,490"
Expenses +,"21,835","26,427","21,728","25,514","22,965","26,217","22,710","25,845","21,205","24,483","21,778","21,770","22,465"
Operating Profit,"3,410","4,331","2,301",733,"2,077","2,914","1,647","3,869","2,140","3,475","2,219","2,904","2,025"
OPM %,14%,14%,10%,3%,8%,10%,7%,13%,9%,12%,9%,12%,8%
Other Income +,-115,463,305,441,419,447,442,-241,255,-149,-112,269,393
Interest,316,440,374,506,640,517,613,605,614,642,691,758,679
Depreciation,"1,049","1,144","1,194","1,183","1,221","1,364","1,275","1,326","1,321","1,356","1,402","1,304","1,420"
Profit before tax,"1,931","3,210","1,038",-516,635,"1,480",202,"1,696",461,"1,329",14,"1,113",318
Tax %,25%,25%,25%,-25%,27%,29%,26%,27%,28%,24%,25%,25%,60%
Net Profit +,"1,443","2,418",776,-386,464,"1,049",150,"1,241",331,"1,011",11,834,126
EPS in Rs,3.49,5.85,1.88,-0.93,1.12,2.54,0.36,3.00,0.80,2.45,0.03,2.02,0.30
Raw PDF,,,,,,,,,,,,,
