0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"166,785","177,287","224,249","207,485","204,740","202,994","197,527","179,740","199,104","197,978","193,236","173,848","193,900"
Expenses +,"156,926","165,660","222,894","205,525","201,147","187,654","175,363","158,427","183,615","187,543","184,601","170,075","186,783"
Operating Profit,"9,859","11,628","1,356","1,960","3,593","15,340","22,164","21,313","15,489","10,435","8,635","3,772","7,117"
OPM %,6%,7%,1%,1%,2%,8%,11%,12%,8%,5%,4%,2%,4%
Other Income +,"1,379",952,687,"2,198","1,715","1,638",688,982,"1,453","1,657",534,"2,532","2,561"
Interest,979,"1,607","1,725","1,441","1,953","1,812","1,626","1,846","1,832","2,023","1,960","2,414","2,312"
Depreciation,"2,779","2,887","2,847","2,962","3,099","2,952","3,152","3,280","4,341","3,736","3,756","3,718","3,896"
Profit before tax,"7,480","8,085","-2,529",-244,257,"12,215","18,074","17,170","10,768","6,332","3,453",173,"3,470"
Tax %,22%,26%,-21%,12%,-75%,18%,24%,24%,25%,24%,23%,-4%,17%
Net Profit +,"5,861","6,022","-1,993",-272,448,"10,059","13,750","12,967","8,063","4,838","2,643",180,"2,874"
EPS in Rs,4.15,4.26,-1.41,-0.19,0.32,7.12,9.74,9.18,5.71,3.43,1.87,0.13,2.03
Raw PDF,,,,,,,,,,,,,
