0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,"2,428","2,428","2,428","2,370","4,739","9,479","9,414","9,181","9,181","9,181","13,772","13,772","13,772"
Reserves,"58,696","63,564","65,542","85,765","94,989","100,692","99,476","84,588","101,319","122,105","120,986","162,943","160,506"
Borrowings +,"80,834","86,218","55,245","52,880","54,820","58,030","86,359","116,545","102,327","119,463","141,550","125,867","152,849"
Other Liabilities +,"86,195","99,488","96,794","79,623","104,794","112,693","119,334","100,962","121,416","137,804","143,828","154,936","154,522"
Total Liabilities,"228,153","251,697","220,009","220,638","259,343","280,895","314,583","311,276","334,243","388,553","420,135","457,518","481,649"
Fixed Assets +,"60,633","62,949","66,251","91,347","107,879","113,927","118,708","133,682","143,400","146,889","165,485","180,867","185,728"
CWIP,"26,230","33,879","36,324","21,025","10,738","14,348","23,599","29,738","33,052","44,446","48,991","59,066","65,968"
Investments,"18,671","23,594","23,899","37,181","47,305","47,488","49,940","39,139","48,619","57,787","57,519","71,088","74,855"
Other Assets +,"122,619","131,275","93,534","71,084","93,421","105,131","122,336","108,718","109,172","139,432","148,140","146,497","155,097"
Total Assets,"228,153","251,697","220,009","220,638","259,343","280,895","314,583","311,276","334,243","388,553","420,135","457,518","481,649"
