0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"1,594","1,597","1,381","1,530","1,378","1,555","1,702","2,269","1,865","2,056","2,170","2,396","1,970"
Expenses +,"1,441","1,448","1,310","1,469","1,260","1,389","1,449","1,977","1,664","1,810","1,928","2,132","1,782"
Operating Profit,153,149,71,60,118,166,254,292,201,246,242,264,189
OPM %,10%,9%,5%,4%,9%,11%,15%,13%,11%,12%,11%,11%,10%
Other Income +,25,25,26,28,42,47,26,38,42,42,48,69,30
Interest,26,12,13,15,16,16,15,19,25,34,27,31,38
Depreciation,70,70,61,62,64,82,56,74,75,71,68,66,74
Profit before tax,82,92,23,12,79,114,209,238,143,183,195,236,107
Tax %,31%,55%,35%,35%,34%,31%,25%,23%,27%,20%,26%,26%,18%
Net Profit +,56,41,15,8,52,79,155,182,104,147,145,176,88
EPS in Rs,0.56,0.41,0.15,0.08,0.52,0.78,1.60,1.88,1.07,1.51,1.49,1.81,0.90
Raw PDF,,,,,,,,,,,,,
