0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equity Capital,100,100,100,100,100,100,100,100,100,99,99,97,96
Reserves,960,949,"1,332","1,799","2,101","2,329","2,389","2,707","3,238","3,376","3,440","3,644","3,621"
Borrowings +,"1,694","2,311","2,467","2,566","2,738","2,721","2,510","2,275","1,409","1,318",925,"1,965","2,194"
Other Liabilities +,605,780,928,896,"1,308","1,099","1,264","1,139","1,350","1,398","1,505","1,810","1,977"
Total Liabilities,"3,359","4,141","4,827","5,362","6,248","6,248","6,264","6,221","6,098","6,191","5,969","7,515","7,888"
Fixed Assets +,"1,611","1,254","1,899","2,649","3,009","2,776","2,625","2,361","2,133","1,979","1,852","2,833","2,792"
CWIP,54,524,153,181,48,70,29,24,25,46,20,46,154
Investments,416,750,706,692,826,903,"1,079","1,350","1,411","1,896","1,903","1,567","1,572"
Other Assets +,"1,277","1,612","2,069","1,841","2,365","2,500","2,531","2,486","2,528","2,270","2,194","3,069","3,370"
Total Assets,"3,359","4,141","4,827","5,362","6,248","6,248","6,264","6,221","6,098","6,191","5,969","7,515","7,888"
