0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,"4,785","5,471","5,531","6,451","7,588","9,800","8,781","6,621","10,567","12,691","15,166","13,343"
Cash from Investing Activity +,"-3,269","-3,955","-3,807","-3,236","12,007","2,396","-1,092","-2,648","-2,435",846,"6,525","-3,405"
Cash from Financing Activity +,"-1,255","-1,577","-1,902","-3,214","-11,266","-18,612","-9,630","-2,098","-9,697","-12,258","-23,224","-9,946"
Net Cash Flow,261,-62,-178,1,"8,329","-6,416","-1,941","1,875","-1,565","1,279","-1,533",-8
