0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"2,838","3,195","3,248","3,397","3,590","3,831","3,901","3,931","4,054","4,192","4,231","4,205","4,908"
Expenses +,"2,257","2,440","2,460","2,594","2,733","2,887","2,888","2,833","2,939","3,037","3,053","3,101","3,684"
Operating Profit,581,755,788,804,857,945,"1,013","1,097","1,115","1,155","1,179","1,105","1,224"
OPM %,20%,24%,24%,24%,24%,25%,26%,28%,28%,28%,28%,26%,25%
Other Income +,95,113,93,153,191,203,335,276,250,307,417,337,300
Interest,5,2,3,3,4,3,3,5,5,6,4,5,6
Depreciation,110,117,114,125,131,142,135,131,138,155,158,169,168
Profit before tax,562,749,764,829,914,"1,002","1,209","1,238","1,221","1,302","1,433","1,268","1,350"
Tax %,25%,26%,24%,26%,26%,25%,24%,24%,25%,24%,24%,20%,22%
Net Profit +,422,553,580,615,681,747,914,938,914,983,"1,088","1,010","1,056"
EPS in Rs,15.44,20.24,21.22,22.48,24.89,27.31,33.42,34.28,33.38,35.91,39.71,36.85,38.53
Raw PDF,,,,,,,,,,,,,
