0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,"4,597","4,441","4,424","4,229","5,079","5,176","5,628","5,058","4,437","4,713","5,381","4,942","4,137"
Expenses +,"3,772","3,902","3,740","3,453","4,216","4,475","4,986","4,469","3,628","4,251","5,553","4,829","4,473"
Operating Profit,825,539,684,776,863,701,642,589,809,462,-173,114,-336
OPM %,18%,12%,15%,18%,17%,14%,11%,12%,18%,10%,-3%,2%,-8%
Other Income +,17,-71,30,18,14,11,27,-76,21,15,213,92,124
Interest,308,354,426,382,360,340,324,334,265,204,234,240,293
Depreciation,282,276,258,219,257,256,251,247,242,220,213,220,221
Profit before tax,252,-162,29,192,260,116,93,-68,323,54,-407,-255,-726
Tax %,35%,0%,0%,32%,33%,13%,26%,-48%,31%,28%,-54%,-20%,
Net Profit +,164,-162,29,130,173,101,69,-36,222,39,-189,-203,-641
EPS in Rs,5.32,-5.29,0.96,4.23,5.64,3.27,2.24,-1.15,7.16,1.26,-6.08,-6.54,-20.68
Dividend Payout %,38%,0%,0%,24%,18%,24%,36%,-52%,14%,80%,0%,0%,
