0,1,2,3,4,5,6,7,8,9,10,11,12
Cash from Operating Activity +,459,868,776,"1,143",-913,"1,629",627,"1,849",225,"1,581","1,669","1,875"
Cash from Investing Activity +,-349,-515,-445,"1,022",-383,"-1,123",-163,-844,-188,-106,-133,-460
Cash from Financing Activity +,-323,-326,-391,-759,-110,-432,-536,-988,-35,"-1,475","-1,532","-1,402"
Net Cash Flow,-213,27,-59,"1,406","-1,406",74,-72,17,2,-0,4,13
