0,1,2,3,4,5,6,7,8,9,10,11,12,13
Sales +,744,836,"1,003","1,395",883,949,998,"2,206",426,"1,831","1,936","3,176","2,623"
Expenses +,13,21,37,37,211,64,85,114,86,97,119,121,145
Operating Profit,731,815,966,"1,357",673,885,914,"2,092",340,"1,734","1,817","3,055","2,479"
OPM %,98%,97%,96%,97%,76%,93%,92%,95%,80%,95%,94%,96%,94%
Other Income +,1,3,4,7,5,5,0,0,6,2,1,0,68
Interest,0,0,0,0,0,0,0,13,4,3,7,2,2
Depreciation,2,5,5,5,5,5,4,32,32,32,32,32,32
Profit before tax,730,814,964,"1,359",672,884,910,"2,048",310,"1,701","1,779","3,021","2,513"
Tax %,9%,10%,10%,6%,20%,10%,13%,11%,36%,4%,4%,4%,
Net Profit +,663,733,868,"1,271",538,800,788,"1,827",199,"1,631","1,712","2,896","2,405"
EPS in Rs,59.60,65.89,77.97,114.16,48.36,71.88,70.82,164.15,17.84,146.51,153.79,260.25,216.15
Dividend Payout %,42%,46%,42%,28%,67%,56%,46%,24%,224%,78%,80%,50%,
